"Name","Team","GS","G","IP","W","L","QS","SV","HLD","H","ER","HR","SO","BB","WHIP","K/9","BB/9","ERA","FIP","-1","WAR","RA9-WAR","playerid"
"Michael Fulmer","DET","0","37","37.0","2","2","0","3","7","35","16","4","36","12","1.26","8.63","2.96","3.76","3.78","","0.3","0.2","13218"
"Daniel Hudson","LAD","0","38","38.0","2","2","0","3","8","32","15","5","45","13","1.18","10.68","3.05","3.67","3.66","","0.3","0.4","7146"
"Paul Sewald","SEA","0","37","37.0","2","2","0","7","6","30","15","5","43","12","1.15","10.44","3.04","3.54","3.65","","0.3","0.2","13892"
"Matthew Liberatore","STL","9","9","50.0","3","3","4","0","0","51","25","8","39","19","1.38","6.95","3.36","4.54","4.78","","0.3","0.4","22294"
"Beau Brieske","DET","12","12","68.0","3","5","5","0","0","71","36","11","51","21","1.36","6.80","2.79","4.76","4.78","","0.3","0.3","26079"
"Camilo Doval","SFG","0","39","39.0","2","2","0","19","1","32","15","3","47","19","1.31","10.80","4.40","3.46","3.47","","0.3","0.4","21992"
"David Robertson","CHC","0","36","36.0","2","2","0","16","2","31","14","4","42","15","1.27","10.52","3.78","3.61","3.56","","0.3","0.3","8241"
"Jackson Kowar","KCR","7","7","35.0","2","2","2","0","0","35","17","4","29","14","1.41","7.53","3.66","4.49","4.43","","0.3","0.3","21549"
"Nate Pearson","TOR","4","17","34.0","2","2","2","0","0","30","16","5","37","14","1.29","9.64","3.73","4.06","4.15","","0.3","0.2","20160"
"Chris Archer","MIN","15","23","81.0","5","6","4","0","0","81","43","13","74","31","1.39","8.24","3.43","4.75","4.70","","0.3","0.2","6345"
"Luke Weaver","ARI","5","22","46.0","2","3","2","0","0","47","22","7","42","14","1.31","8.27","2.71","4.37","4.19","","0.3","0.4","16918"
"Luis Patiño","TBR","5","36","56.0","3","3","2","0","4","50","25","8","57","21","1.27","9.20","3.40","4.07","4.16","","0.3","0.2","22815"
"Huascar Ynoa","ATL","5","5","24.0","2","2","2","0","0","24","11","3","24","10","1.35","8.78","3.51","4.17","4.03","","0.3","0.3","20468"
"Félix Bautista","BAL","0","35","35.0","2","2","0","5","6","29","15","4","41","17","1.32","10.46","4.47","3.82","4.00","","0.3","0.2","20666"
"Tyler Alexander","DET","4","34","49.0","2","3","1","0","4","50","23","7","40","12","1.28","7.42","2.29","4.25","4.23","","0.3","0.1","17735"
"Dustin May","LAD","2","9","17.0","1","1","1","0","0","15","7","2","19","5","1.18","9.94","2.65","3.40","3.34","","0.3","0.3","19716"
"Jalen Beeks","TBR","0","34","34.0","2","2","0","1","6","29","12","3","40","13","1.20","10.44","3.30","3.25","3.34","","0.3","0.2","17192"
"Dillon Peters","PIT","5","26","44.0","2","3","2","0","0","43","20","6","40","18","1.36","8.02","3.58","4.13","4.29","","0.3","0.4","18790"
"Max Meyer","MIA","4","12","30.0","2","2","2","0","0","29","14","3","26","11","1.36","7.72","3.41","4.12","4.16","","0.3","0.3","sa3014430"
"Yerry De Los Santos","PIT","0","35","35.0","2","2","0","0","7","32","14","4","35","13","1.28","9.15","3.38","3.69","3.70","","0.3","0.2","21420"
"Ryne Stanek","HOU","0","39","39.0","2","2","0","1","8","31","16","5","47","17","1.25","10.92","4.03","3.65","3.82","","0.2","0.2","15947"
"Luis García","SDP","0","36","36.0","2","2","0","1","7","32","14","4","36","13","1.25","9.14","3.19","3.55","3.59","","0.2","0.3","6984"
"Ryan Helsley","STL","0","36","36.0","2","2","0","6","6","29","14","4","42","15","1.25","10.49","3.83","3.55","3.63","","0.2","0.4","18138"
"Gregory Soto","DET","0","39","39.0","2","2","0","13","3","33","15","4","45","19","1.31","10.30","4.33","3.57","3.69","","0.2","0.3","19677"
"Tanner Rainey","WSN","0","36","36.0","2","2","0","16","2","28","15","4","44","18","1.31","11.13","4.63","3.85","3.97","","0.2","0.4","17610"
"Joe Jiménez","DET","0","32","32.0","2","2","0","0","5","26","13","4","38","13","1.24","10.69","3.72","3.79","3.74","","0.2","0.2","15761"
"Eli Morgan","CLE","2","38","47.0","2","2","1","1","7","43","21","7","49","13","1.18","9.34","2.43","4.01","4.04","","0.2","0.2","20203"
"Scott Barlow","KCR","0","43","43.0","2","2","0","12","4","40","19","5","43","17","1.31","9.02","3.51","3.92","3.86","","0.2","0.2","14993"
"John Schreiber","BOS","0","36","36.0","2","2","0","1","9","34","15","4","35","12","1.30","8.80","3.11","3.89","3.77","","0.2","0.2","20020"
"Caleb Ferguson","LAD","0","23","23.0","1","1","0","0","0","20","9","3","28","10","1.24","10.88","3.71","3.50","3.60","","0.2","0.2","19349"
"Yonny Chirinos","TBR","5","11","33.0","2","2","2","0","0","33","16","5","26","9","1.31","7.26","2.60","4.33","4.35","","0.2","0.3","16401"
"Tim Mayza","TOR","0","34","34.0","2","2","0","1","7","31","13","3","36","13","1.26","9.29","3.29","3.43","3.56","","0.2","0.3","15042"
"José Alvarado","PHI","0","32","32.0","2","1","0","1","5","25","12","3","40","19","1.38","11.10","5.34","3.34","3.67","","0.2","0.4","17780"
"Keegan Thompson","CHC","7","26","56.0","3","4","2","0","0","55","28","8","52","24","1.40","8.39","3.82","4.53","4.51","","0.2","0.4","19795"
"Reynaldo López","CHW","0","33","33.0","2","2","0","0","7","29","13","4","35","9","1.17","9.50","2.46","3.66","3.72","","0.2","0.2","16400"
"Art Warren","CIN","0","35","35.0","2","2","0","1","6","31","15","4","41","16","1.31","10.47","3.98","3.93","3.86","","0.2","0.2","18251"
"Kendall Graveman","CHW","0","38","38.0","2","2","0","1","8","35","15","4","40","14","1.28","9.48","3.27","3.58","3.67","","0.2","0.2","15514"
"Brusdar Graterol","LAD","0","36","36.0","2","2","0","1","10","34","15","4","35","13","1.29","8.72","3.18","3.67","3.76","","0.2","0.3","20367"
"Bryan Abreu","HOU","0","32","32.0","2","1","0","0","6","26","12","3","39","16","1.27","10.93","4.35","3.39","3.60","","0.2","0.3","16609"
"Jonathan Loáisiga","NYY","0","24","24.0","1","1","0","0","0","21","9","2","26","8","1.23","9.63","3.14","3.42","3.47","","0.2","0.2","19753"
"Kyle Finnegan","WSN","0","35","35.0","2","2","0","2","7","31","15","4","37","15","1.33","9.49","3.86","3.82","3.85","","0.2","0.3","15009"
