"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","wRC+","-1","BsR","Fld","-1","Off","Def","WAR","playerid"
"Lucas Erceg","MIL","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".205",".271",".358",".629",".277","75","","0.0","0.0","","0.0","0.0","0.0","sa872722"
"Jeisson Rosario","NYY","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".220",".316",".330",".645",".292","89","","0.0","0.0","","0.0","0.0","0.0","sa3004146"
"Aaron Schunk","COL","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".242",".285",".392",".678",".295","75","","0.0","0.0","","0.0","0.0","0.0","sa3009957"
"Max McDowell","NYY","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".189",".278",".278",".556",".255","63","","0.0","0.0","","0.0","0.0","0.0","sa875626"
"Tyler Hill","COL","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".242",".316",".393",".709",".312","87","","0.0","0.0","","0.0","0.0","0.0","sa829481"
"Colin Moran","CIN","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".238",".308",".394",".703",".309","93","","0.0","0.0","","0.0","0.0","0.0","16909"
"Brandon Valenzuela","SDP","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".191",".273",".280",".553",".251","63","","0.0","0.0","","0.0","0.0","0.0","sa3005729"
"Patrick Bailey","SFG","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".189",".263",".299",".562",".252","62","","0.0","0.0","","0.0","0.0","0.0","sa3014442"
"Ryan Dorow","TEX","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".213",".284",".338",".622",".277","79","","0.0","0.0","","0.0","0.0","0.0","23559"
"Tony Wolters","LAD","1","2","2","0","0","0","0","0","0","0","1","0","0","0","",".196",".276",".272",".547",".250","60","","0.0","0.0","","-0.1","0.0","0.0","11470"
"Eric Rodriguez","CLE","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".201",".259",".317",".576",".256","63","","0.0","0.0","","0.0","0.0","0.0","sa185525"
"Cody Freeman","TEX","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".197",".260",".309",".569",".254","63","","0.0","0.0","","0.0","0.0","0.0","sa3010153"
"Cullen Large","TOR","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".222",".289",".339",".628",".279","76","","0.0","0.0","","0.0","0.0","0.0","sa3003959"
"Nic Gaddis","NYM","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".170",".263",".275",".539",".247","62","","0.0","0.0","","0.0","0.0","0.0","sa3009888"
"Anthony Mulrine","LAA","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".194",".272",".293",".566",".256","63","","0.0","0.0","","0.0","0.0","0.0","sa1170373"
"Eduardo Diaz","ARI","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".239",".280",".403",".682",".295","86","","0.0","0.0","","0.0","0.0","0.0","sa917182"
"Colson Montgomery","CHW","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".209",".275",".313",".588",".264","70","","0.0","0.0","","0.0","0.0","0.0","sa3017170"
"Josh Stephen","PHI","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".219",".297",".370",".667",".295","87","","0.0","0.0","","0.0","0.0","0.0","sa918203"
"Armani Smith","SFG","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".233",".290",".364",".655",".288","87","","0.0","0.0","","0.0","0.0","0.0","sa918911"
"Jalen Miller","ATL","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".213",".277",".351",".628",".277","74","","0.0","0.0","","0.0","0.0","0.0","sa875016"
"Fabricio Macias","PIT","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".248",".290",".376",".665",".291","87","","0.0","0.0","","0.0","0.0","0.0","sa927338"
"Adam Duvall","ATL","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".211",".274",".409",".683",".296","87","","0.0","0.0","","0.0","0.0","0.0","10950"
"Joe Dunand","ATL","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".210",".274",".336",".609",".270","76","","0.0","0.0","","0.0","0.0","0.0","19727"
"Eric Yang","CIN","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".196",".279",".304",".583",".263","62","","0.0","0.0","","0.0","0.0","0.0","sa1169769"
"Edgar Cabral","PHI","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".189",".265",".309",".574",".258","62","","0.0","0.0","","0.0","0.0","0.0","sa738507"
"Luken Baker","STL","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".223",".276",".404",".681",".296","93","","0.0","0.0","","0.0","0.0","0.0","sa3008267"
"Livan Soto","LAA","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".222",".281",".312",".593",".265","69","","0.0","0.0","","0.0","0.0","0.0","sa3004264"
"Niko Kavadas","BOS","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".208",".301",".402",".703",".308","95","","0.0","0.0","","0.0","0.0","0.0","sa3017337"
"Nathan Hickey","BOS","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".191",".274",".311",".585",".262","63","","0.0","0.0","","0.0","0.0","0.0","sa3017398"
"Ethan Skender","SDP","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".223",".280",".323",".603",".268","74","","0.0","0.0","","0.0","0.0","0.0","sa3010268"
"Cory Spangenberg","STL","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".219",".276",".344",".620",".274","78","","0.0","0.0","","0.0","0.0","0.0","12294"
"Kyle Manzardo","TBR","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".217",".285",".383",".668",".293","95","","0.0","0.0","","0.0","0.0","0.0","sa3017342"
"Hayden Cantrelle","SFG","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".189",".291",".296",".587",".268","73","","0.0","0.0","","0.0","0.0","0.0","sa3014426"
"Dairon Blanco","KCR","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".233",".295",".365",".660",".291","86","","0.0","0.0","","0.0","0.0","0.0","19779"
"Micker Adolfo","CHW","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".215",".270",".398",".668",".290","88","","0.0","0.0","","0.0","0.0","0.0","sa830303"
"Donnie Dewees","CHC","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".228",".293",".374",".666",".293","86","","0.0","0.0","","0.0","0.0","0.0","sa858802"
"Jacob Heyward","SFG","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".201",".297",".345",".642",".288","87","","0.0","0.0","","0.0","0.0","0.0","sa738955"
"Leonel Valera","LAD","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".205",".257",".334",".590",".260","67","","0.0","0.0","","0.0","0.0","0.0","sa917320"
"Warming Bernabel","COL","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".245",".287",".384",".671",".293","74","","0.0","0.0","","0.0","0.0","0.0","sa3008761"
"Justin Williams","PHI","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".222",".292",".394",".686",".298","89","","0.0","0.0","","0.0","0.0","0.0","15490"
"Blake Perkins","NYY","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".210",".300",".349",".649",".289","87","","0.0","0.0","","0.0","0.0","0.0","sa874806"
"Cristian Inoa","TEX","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".219",".265",".329",".594",".262","69","","0.0","0.0","","0.0","0.0","0.0","sa917277"
"Angel Martinez","CLE","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".209",".275",".317",".592",".264","69","","0.0","0.0","","0.0","0.0","0.0","sa3008762"
"Cadyn Grenier","BAL","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".197",".291",".291",".581",".266","68","","0.0","0.0","","0.0","0.0","0.0","sa3008140"
"Zack Collins","TOR","6","24","21","4","1","0","1","3","3","3","7","0","0","0","",".202",".311",".370",".681",".304","93","","0.0","0.0","","-0.2","-0.2","0.0","19181"
"Roberto Baldoquin","STL","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".216",".277",".297",".574",".258","68","","0.0","0.0","","0.0","0.0","0.0","sa857538"
"Hunter Owen","PIT","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".214",".280",".392",".671",".293","88","","0.0","0.0","","0.0","0.0","0.0","20034"
"Korry Howell","SDP","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".207",".287",".358",".644",".285","85","","0.0","0.0","","0.0","0.0","0.0","sa3008238"
"Simon Whiteman","SFG","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".205",".284",".281",".565",".258","66","","0.0","0.0","","0.0","0.0","0.0","sa1169809"
"Logan Warmoth","TOR","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".199",".285",".307",".591",".267","68","","0.0","0.0","","0.0","0.0","0.0","sa3004813"
"Trevor Hauver","TEX","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".193",".287",".316",".603",".271","75","","0.0","0.0","","0.0","0.0","0.0","sa3014448"
"Alex McGarry","CIN","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".233",".275",".442",".717",".308","92","","0.0","0.0","","0.0","0.0","0.0","sa3015015"
"Pat Valaika","ATL","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".222",".269",".348",".617",".271","70","","0.0","0.0","","0.0","0.0","0.0","14885"
"Omar Estévez","LAD","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".204",".267",".316",".583",".260","67","","0.0","0.0","","0.0","0.0","0.0","sa914242"
"Grae Kessinger","HOU","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".194",".269",".307",".576",".259","68","","0.0","0.0","","0.0","0.0","0.0","sa3010327"
"John Nogowski","WSN","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".227",".321",".352",".673",".302","91","","0.0","0.0","","0.0","0.0","0.0","16852"
"David Dahl","WSN","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".241",".292",".389",".681",".298","88","","0.0","0.0","","0.0","0.0","0.0","13744"
"Robbie Podorsky","SDP","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".236",".292",".351",".643",".284","85","","0.0","0.0","","0.0","0.0","0.0","sa3004066"
"Johnny Rizer","BAL","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".229",".282",".388",".670",".293","87","","0.0","0.0","","0.0","0.0","0.0","sa1169761"
"Michael Gettys","BOS","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".222",".275",".406",".682",".296","87","","0.0","0.0","","0.0","0.0","0.0","sa828692"
"Kaleb Cowart","NYY","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".223",".279",".348",".627",".277","79","","0.0","0.0","","0.0","0.0","0.0","11494"
"Carlos Sepulveda","CHC","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".224",".303",".303",".605",".274","73","","0.0","0.0","","0.0","0.0","0.0","sa877338"
"Christin Stewart","BOS","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".220",".303",".412",".715",".312","98","","0.0","0.0","","0.0","0.0","0.0","17714"
"Alex De Jesus","LAD","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".197",".270",".308",".578",".259","67","","0.0","0.0","","0.0","0.0","0.0","sa3008842"
"Dustin Peterson","PHI","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".237",".297",".380",".678",".297","88","","0.0","0.0","","0.0","0.0","0.0","15189"
"Jay Schuyler","CIN","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".203",".268",".318",".586",".262","60","","0.0","0.0","","0.0","0.0","0.0","sa3006662"
"Gabriel Cancel","KCR","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".215",".268",".357",".625",".274","74","","0.0","0.0","","0.0","0.0","0.0","sa875231"
"Riley Delgado","ATL","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".239",".291",".307",".598",".267","67","","0.0","0.0","","0.0","0.0","0.0","sa3004934"
"Bryce Ball","CHC","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".230",".309",".374",".682",".302","92","","0.0","0.0","","0.0","0.0","0.0","sa1170451"
"Patrick Dorrian","MIL","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".197",".276",".342",".619",".274","73","","0.0","0.0","","0.0","0.0","0.0","sa3007629"
"Cole Sturgeon","MIN","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".234",".292",".370",".662",".291","88","","0.0","0.0","","0.0","0.0","0.0","sa709546"
"Tristen Lutz","MIL","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".220",".284",".383",".667",".293","85","","0.0","0.0","","0.0","0.0","0.0","sa3004968"
"Kort Peterson","KCR","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".229",".281",".389",".671",".293","87","","0.0","0.0","","0.0","0.0","0.0","sa874104"
"Jeremy Vasquez","NYM","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".230",".306",".346",".652",".291","92","","0.0","0.0","","0.0","0.0","0.0","sa915673"
"Jack Mayfield","LAA","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".221",".272",".377",".649",".283","82","","0.0","0.0","","0.0","0.0","0.0","15402"
"Kelvin Melean","SDP","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".212",".275",".297",".572",".257","67","","0.0","0.0","","0.0","0.0","0.0","sa917141"
"Jared Young","CHC","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".238",".295",".397",".692",".302","92","","0.0","0.0","","0.0","0.0","0.0","sa3004937"
"Nelson Maldonado","CHC","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".251",".298",".392",".690",".302","92","","0.0","0.0","","0.0","0.0","0.0","sa3010389"
"Juan Lagares","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".240",".283",".363",".646",".283","82","","0.0","0.0","","0.0","0.0","0.0","5384"
"Eduardo Núñez","NYM","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".224",".258",".326",".584",".257","69","","0.0","0.0","","0.0","0.0","0.0","6848"
"Connor Kaiser","SDP","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".191",".266",".306",".571",".257","66","","0.0","0.0","","0.0","0.0","0.0","sa3007823"
"Mason McCoy","SEA","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".203",".263",".307",".570",".254","67","","0.0","0.0","","0.0","0.0","0.0","sa3002758"
"Caleb Joseph","SEA","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".200",".253",".311",".563",".250","64","","0.0","0.0","","0.0","0.0","0.0","7087"
"Riley Mahan","SFG","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".213",".266",".342",".607",".267","73","","0.0","0.0","","0.0","0.0","0.0","sa829844"
"Jake Anchia","SEA","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".192",".242",".317",".559",".246","61","","0.0","0.0","","0.0","0.0","0.0","sa3006674"
"John Rave","KCR","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".225",".292",".371",".663",".292","86","","0.0","0.0","","0.0","0.0","0.0","sa918890"
"JJ Muno","CHW","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".201",".280",".315",".595",".268","73","","0.0","0.0","","0.0","0.0","0.0","sa3004176"
"Jake Palomaki","LAA","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".224",".301",".296",".597",".271","73","","0.0","0.0","","0.0","0.0","0.0","sa3007003"
"Jax Biggers","TEX","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".232",".284",".321",".605",".269","74","","0.0","0.0","","0.0","0.0","0.0","sa3008251"
"Scott Kingery","PHI","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".198",".268",".329",".597",".265","67","","0.0","0.0","","0.0","0.0","0.0","17975"
"Garrett Whitley","MIL","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".199",".297",".353",".651",".291","84","","0.0","0.0","","0.0","0.0","0.0","sa874244"
"Kellin Deglan","TOR","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".194",".261",".319",".580",".259","61","","0.0","0.0","","0.0","0.0","0.0","sa548189"
"Drew Stankiewicz","ARI","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".214",".280",".337",".618",".274","72","","0.0","0.0","","0.0","0.0","0.0","sa599531"
"Camden Duzenack","ARI","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".210",".257",".346",".603",".265","66","","0.0","0.0","","0.0","0.0","0.0","sa873988"
"Logan Driscoll","TBR","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".189",".251",".295",".546",".245","61","","0.0","0.0","","0.0","0.0","0.0","sa3009882"
"Robert Perez Jr.","SEA","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".213",".271",".373",".644",".282","87","","0.0","0.0","","0.0","0.0","0.0","sa3002851"
"Luca Tresh","KCR","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".203",".259",".315",".574",".255","61","","0.0","0.0","","0.0","0.0","0.0","sa3017394"
"Miguel Palma","HOU","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".187",".248",".310",".558",".249","61","","0.0","0.0","","0.0","0.0","0.0","sa3009279"
"Matt Kroon","PHI","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".228",".290",".371",".661",".291","84","","0.0","0.0","","0.0","0.0","0.0","sa3007502"
"Connor Scott","PIT","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".237",".291",".364",".655",".288","84","","0.0","0.0","","0.0","0.0","0.0","sa3008080"
"Javier Valdes","ATL","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".199",".262",".310",".573",".256","60","","0.0","0.0","","0.0","0.0","0.0","sa3010902"
"Luis Liberato","SDP","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".215",".280",".366",".645",".284","84","","0.0","0.0","","0.0","0.0","0.0","sa737020"
"Allan Cerda","CIN","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".200",".281",".397",".678",".297","85","","0.0","0.0","","0.0","0.0","0.0","sa3005504"
"Yunior Severino","MIN","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".211",".276",".333",".609",".271","74","","0.0","0.0","","0.0","0.0","0.0","sa3003185"
"Quincy McAfee","CIN","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".210",".293",".327",".620",".279","72","","0.0","0.0","","0.0","0.0","0.0","sa1159899"
"Jacob Robson","DET","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".212",".305",".334",".639",".287","85","","0.0","0.0","","0.0","0.0","0.0","19528"
"Ti'Quan Forbes","ARI","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".226",".277",".344",".621",".274","72","","0.0","0.0","","0.0","0.0","0.0","sa828696"
"Edwin Díaz","HOU","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".182",".252",".328",".580",".257","67","","0.0","0.0","","0.0","0.0","0.0","sa738152"
"Nerio Rodriguez","HOU","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".190",".256",".299",".555",".248","60","","0.0","0.0","","0.0","0.0","0.0","sa3003325"
"Chris Rabago","DET","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".190",".267",".289",".556",".252","60","","0.0","0.0","","0.0","0.0","0.0","sa829062"
"Ildemaro Vargas","WSN","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".247",".297",".371",".668",".292","85","","0.0","0.0","","0.0","0.0","0.0","13324"
"Max Burt","NYY","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".210",".263",".345",".608",".268","72","","0.0","0.0","","0.0","0.0","0.0","sa3007631"
"Luke Ritter","NYM","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".193",".266",".318",".584",".261","72","","0.0","0.0","","0.0","0.0","0.0","sa3009878"
"Ryan Boldt","TBR","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".218",".275",".361",".637",".279","85","","0.0","0.0","","0.0","0.0","0.0","sa738262"
"Thomas Saggese","TEX","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".220",".269",".343",".612",".268","73","","0.0","0.0","","0.0","0.0","0.0","sa3014503"
"Marcus Wilson","SEA","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".188",".283",".341",".624",".279","84","","0.0","0.0","","0.0","0.0","0.0","17910"
"Nick Ciuffo","CHW","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".197",".252",".322",".573",".254","63","","0.0","0.0","","0.0","0.0","0.0","16291"
"Drew Mount","CIN","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".233",".283",".397",".680",".296","84","","0.0","0.0","","0.0","0.0","0.0","sa3006728"
"Matt Winaker","NYM","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".202",".303",".312",".615",".280","84","","0.0","0.0","","0.0","0.0","0.0","sa3004506"
"Wes Clarke","MIL","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".177",".269",".288",".557",".254","59","","0.0","0.0","","0.0","0.0","0.0","sa3017045"
"Daniel Montano","COL","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".245",".312",".390",".702",".308","84","","0.0","0.0","","0.0","0.0","0.0","sa917068"
"Zach DeLoach","SEA","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".215",".293",".340",".632",".281","86","","0.0","0.0","","0.0","0.0","0.0","sa3014547"
"Erick Castillo","CHC","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".214",".276",".298",".575",".259","62","","0.0","0.0","","0.0","0.0","0.0","12990"
"D.J. Artis","CHC","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".212",".298",".348",".646",".289","83","","0.0","0.0","","0.0","0.0","0.0","sa3007632"
"Cobie Fletcher-Vance","MIA","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".219",".281",".307",".587",".263","71","","0.0","0.0","","0.0","0.0","0.0","sa3006860"
"Dondrei Hubbard","WSN","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".236",".283",".380",".664",".290","83","","0.0","0.0","","0.0","0.0","0.0","sa3018218"
"Max Schrock","CIN","9","38","35","8","2","0","1","4","4","2","7","0","0","0","",".242",".293",".366",".659",".289","79","","-0.1","-0.2","","-1.0","-0.3","0.0","17750"
"Jordan Qsar","TBR","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".194",".267",".369",".636",".279","85","","0.0","0.0","","0.0","0.0","0.0","sa3007078"
"Thomas Milone","SDP","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".219",".292",".342",".633",".282","83","","0.0","0.0","","0.0","0.0","0.0","sa737640"
"Tyreque Reed","BOS","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".225",".295",".397",".692",".303","92","","0.0","0.0","","0.0","0.0","0.0","sa3004163"
"TJ Hopkins","CIN","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".227",".291",".382",".673",".295","83","","0.0","0.0","","0.0","0.0","0.0","sa1053018"
"Kevin Vicuña","PHI","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".223",".276",".309",".585",".261","64","","0.0","0.0","","0.0","0.0","0.0","sa872466"
"Greyson Jenista","ATL","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".206",".285",".379",".664",".291","83","","0.0","0.0","","0.0","0.0","0.0","sa3007044"
"Grant Lavigne","COL","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".252",".325",".394",".719",".317","90","","0.0","0.0","","0.0","0.0","0.0","sa3007743"
"Alexander Ovalles","TBR","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".215",".283",".347",".629",".279","85","","0.0","0.0","","0.0","0.0","0.0","sa3005781"
"Nash Knight","MIN","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".190",".287",".303",".591",".269","72","","0.0","0.0","","0.0","0.0","0.0","sa876814"
"Gabe Holt","MIL","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".232",".294",".308",".602",".270","70","","0.0","0.0","","0.0","0.0","0.0","sa3011899"
"Lewis Brinson","HOU","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".219",".267",".374",".641",".280","83","","0.0","0.0","","0.0","0.0","0.0","14352"
"Casey Golden","COL","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".220",".286",".419",".706",".307","83","","0.0","0.0","","0.0","0.0","0.0","sa873997"
"Ronald Guzmán","NYY","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".210",".288",".364",".652",".289","87","","0.0","0.0","","0.0","0.0","0.0","14388"
"Matt Lloyd","CIN","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".214",".284",".388",".672",".295","83","","0.0","0.0","","0.0","0.0","0.0","sa1169978"
"Aaron Palensky","NYY","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".210",".287",".356",".643",".285","85","","0.0","0.0","","0.0","0.0","0.0","sa3015077"
"Dariel Lopez","PIT","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".216",".254",".334",".588",".258","64","","0.0","0.0","","0.0","0.0","0.0","sa3008901"
"J.D. Mundy","BAL","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".227",".292",".392",".683",".298","91","","0.0","0.0","","0.0","0.0","0.0","sa3014886"
"Rudy Martin","WSN","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".213",".296",".346",".642",".287","81","","0.0","0.0","","0.0","0.0","0.0","sa829374"
"Dennis Ortega","MIN","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".202",".259",".300",".559",".249","59","","0.0","0.0","","0.0","0.0","0.0","sa828381"
"Zach Britton","TOR","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".178",".266",".295",".561",".255","59","","0.0","0.0","","0.0","0.0","0.0","sa3014821"
"Adrián Sanchez","WSN","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".238",".285",".344",".629",".277","74","","0.0","0.0","","0.0","0.0","0.0","11338"
"Grant Koch","PIT","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".190",".257",".298",".555",".249","58","","0.0","0.0","","-0.1","0.0","0.0","sa3008180"
"Colt Keith","DET","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".220",".275",".330",".605",".268","72","","0.0","0.0","","0.0","0.0","0.0","sa3014474"
"Frederick Bencosme","BAL","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".230",".270",".322",".592",".261","65","","0.0","0.0","","0.0","0.0","0.0","sa3016779"
"Aaron Whitefield","LAA","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".215",".278",".345",".623",".274","76","","0.0","0.0","","0.0","0.0","0.0","19938"
"Carlos Mendoza","DET","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".209",".304",".277",".581",".268","71","","0.0","0.0","","0.0","0.0","0.0","sa3008944"
"Yoelqui Céspedes","CHW","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".228",".278",".369",".647",".284","83","","0.0","0.0","","0.0","0.0","0.0","sa3015137"
"Yeiner Fernandez","LAD","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".204",".255",".296",".550",".246","58","","0.0","0.0","","-0.1","0.0","0.0","sa3015182"
"Chris Okey","CIN","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".200",".265",".339",".604",".266","64","","0.0","0.0","","0.0","0.0","0.0","19245"
"Gage Workman","DET","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".203",".250",".336",".586",".257","64","","0.0","0.0","","0.0","0.0","0.0","sa3014441"
"Moises Castillo","CHW","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".215",".276",".295",".571",".257","65","","0.0","0.0","","0.0","0.0","0.0","sa917135"
